#Version: 1.5
#Software: Microsoft Windows Firewall
#Time Format: Local
#Fields: date time action protocol src-ip dst-ip src-port dst-port size tcpflags tcpsyn tcpack tcpwin icmptype icmpcode info path

2023-12-11 18:40:24 ALLOW UDP 192.168.56.101 239.255.255.250 54599 1900 0 - - - - - - - SEND
2023-12-11 18:40:35 ALLOW TCP 192.168.56.1 192.168.56.101 49347 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:36 ALLOW TCP 192.168.56.1 192.168.56.101 49349 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:37 ALLOW TCP 192.168.56.1 192.168.56.101 49351 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:38 ALLOW TCP 192.168.56.1 192.168.56.101 49353 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:39 ALLOW TCP 192.168.56.1 192.168.56.101 49355 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:40 ALLOW TCP 192.168.56.1 192.168.56.101 49357 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:41 ALLOW TCP 192.168.56.1 192.168.56.101 49359 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:42 ALLOW TCP 192.168.56.1 192.168.56.101 49361 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:43 ALLOW TCP 192.168.56.1 192.168.56.101 49364 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:44 ALLOW TCP 192.168.56.1 192.168.56.101 49366 28331 0 - 0 0 0 - - - RECEIVE
2023-12-11 18:40:49 DROP TCP 192.168.56.1 192.168.56.101 49390 28331 52 S 3472487382 0 64240 - - - RECEIVE
2023-12-11 18:40:50 DROP TCP 192.168.56.1 192.168.56.101 49390 28331 52 S 3472487382 0 64240 - - - RECEIVE
2023-12-11 18:40:52 DROP TCP 192.168.56.1 192.168.56.101 49390 28331 52 S 3472487382 0 64240 - - - RECEIVE
2023-12-11 18:40:56 DROP TCP 192.168.56.1 192.168.56.101 49390 28331 52 S 3472487382 0 64240 - - - RECEIVE
2023-12-11 18:41:04 DROP TCP 192.168.56.1 192.168.56.101 49390 28331 52 S 3472487382 0 64240 - - - RECEIVE
